Author,Author Description,Publication Date,Votes,Review
Maria Matarelli,Founder & President at Formula Ink,2017,14,"Want To Do Twice The Work In Half The Time? You Need To Know This Framework
Put simply, Agile is an approach that helps people work more effectively. Just like it sounds, Agile is a nimble, flexible, and adaptable way to work. Companies use this approach to better manage work and get to market faster. It’s a methodology based on the Agile Manifesto values and principles (Manifesto for Agile Software Development). Most of us are familiar with the trials and tribulations of project management. Whether a startup or Fortune 500 company, projects often take longer and cost more than expected. That’s where Agile comes in.
Agile improves the speed, transparency, and adaptability of a company’s process by breaking big projects into smaller pieces that are more suitable for release or testing. This can be applied to software development, product development, manufacturing, just about any industry, even marketing. Think of it as “micro-testing” smaller elements of a product being developed, with improved efficiency being the driving goal as you prioritize and deliver small segments of each project.

So for example, if a company needs to launch a new website but can’t wait months for it to be finished, an Agile approach would be to put up a homepage with a nice photo, the company name, mission statement, and phone number. This would be a Minimal Viable Product (MVP). Then, each week, add a page that describes their services, then a page that shows their portfolio of work or customer testimonials, and continuing to add more pages until it’s finished. Break the project into small, manageable tasks and get going. For each website page that is finished, we can make that page go live before the rest of the site is finished. That’s an Agile approach. Many companies see great results in getting to market faster using an Agile approach, often with the Scrum Framework.
So, where does the term Scrum come from? In rugby, Scrum is a method of bringing the ball back in play after a pause in the game. The two teams are huddled together around the ball, all pushing up against each other to see who can gain possession of it—and they have to pass the ball backward in order to then move forward and score. It's a very collaborative approach. So, in Agile, we need everyone on the team working together toward a common goal. And we work in time boxes (either a week or two where we plan to complete something) then iterate upon our product as we release incrementally.
There are many types of Agile approaches including Scrum, Kanban, Extreme Programming (XP), and others. According to a survey done by an Agile software tool company called Version One (11th Annual State of Agile™ Report | What's the State of Agile Today?), Scrum is the most commonly used Agile framework. They do a “State of Agile” survey every year, and recently found that about 58% of companies that use Agile actually use the Scrum approach, while more than 80% use Scrum or a hybrid of Scrum.
Whenever I get too technical about the framework when talking to people, I watch their eyes begin to glaze over. But as soon as I say, “Listen, this will help you do twice the work, but in half the time,” everybody’s response is “I need that. I need that in my life.”
Don’t we all?
This is the simplified message that Jeff Sutherland, one of the creators of Scrum, loves to drive home. He says “Scrum helps you do twice the work in half the time.” However, when done properly, the output is much greater than just double, it really is exponential.
By working in short iterations, informed decisions and improved results in less time means way more bang for your buck.
But here’s the thing: Agile can actually be applied to a whole range of industries, not just marketing or project management. In fact, the same approach can even be applied to your life, your personal habits, and your everyday goals.
How I got interested in Agile says a lot about the impact the process can have on both a business and any individual person.
I have never been the type of person to sit in an office all day, working 9 to 5 and finding fulfillment from just that. That concept of corporate slavery (for lack of a better term) was never the future I imagined for myself. I’ve always believed there is more to life than repeating the same, seemingly meaningless cycles day in and day out.

When I was 22 years old, fresh out of college, I was working in project management already leading $5 million projects at State Farm, while simultaneously managing people twice my age to ensure milestones weren’t being missed.
Now, was this my “be-all-end-all?” Not particularly. But I was fascinated by what I was learning, and I saw the value in it.

I felt a little out of my league at first, being a recent college grad managing such large projects, but I’ve always loved the opportunity to learn on my feet and prove myself. I really never have been one to remain within my perceived comfort zone, because I knew there was greater reward to be found beyond it.

Whatever the task, I always knew I would find a way to figure it out.
It wasn’t long before I began applying the streamlining techniques I had learned within previous roles to reduce State Farm’s yearly budget for an enterprise project from $3 million per year to $1.5 million. With these improvements, we were able to ramp up the project to include three releases per year instead of two, and develop a repeatable process that we could outsource to free up our onsite people for more strategic work within the company.

This was when I discovered my interest in improving project management and began to turn the page into Agile.

Here I was, just a young kid working at a huge company, managing multi-million-dollar projects, learning and adapting as I went, while aligning myself with mentors I knew could guide me in the right direction. Yet, I noticed a common theme across my colleagues: no one wanted to learn this new concept of “Agile”.
Why?
Because it was a new and unfamiliar approach. They were perfectly content sticking to their traditional methods, instead of considering that there might actually be a better way to do things.

My colleagues viewed this change as a threat, but I saw it as an opportunity to become an expert in a new, cutting-edge concept that others in my industry were afraid to touch.
I was ready to break the mold.
Following a few certifications and initial projects, I quickly became the go-to “Agile” person in the company, leading weekly lunch-and-learns to speak on delivering projects more effectively using Scrum.
Now, I speak all over the world on the importance of Agile, and I help train leadership teams and development teams across many countries and industries in implementing these processes into their businesses. I became one of only 220 Certified Scrum Trainers (CSTs) in the world. Then, my team and I discovered that applying Agile to Marketing yields incredible results in generating more revenue the way we see Agile applied to software development resulting in increased speed to market.
By learning and understanding how the Agile process worked, you could say I applied that same methodology to my life. I left the 9 to 5 world, have my own businesses, and get to travel to countries I never before dreamed of being able to visit."
Kevin Goldsmith,"Have used Agile techniques since 2000. Extreme Programming, Scrum, Kanban, Rational, etc.",2019,4,"Plenty of good and extensive answers here. Rather than repeat what has already been said multiple times, I will try to answer what I read as the spirit of your question instead of getting into the details of how Agile and Project Management interrelate. This is based on my experiences working for years in non-agile environments before switching to Agile development. I have a clear bias towards agile to be transparent.
Advantages of Agile for Project Management:
More flexibility - when working against uncertain deliverables or in a new area where you are exploring.
Deliver quickly - Since agile focuses on bringing value to customers faster and focuses on frequent releases it works well if you want to get something to your customers as fast as possible
Better team engagement - Agile focuses on leveraging the whole team for planning and reviewing, so you have better team engagement than in non-agile processes.
Disadvantages of Agile for Project Management:
Less predictable deliverables. If you have signed a contract with a customer for a specific set of functionality on a specific date, agile can be difficult to have confidence in making your commitment because it works forward instead of working backward.
Difficult to coordinate cross-team dependencies. Theoretically, with estimation, velocity and well-groomed public backlogs cross-team dependencies aren’t an issue. In reality, the number of companies trying to figure out how to scale their agile teams says otherwise.
Accountability to deliverables is more challenging. If you have a set of pre-agreed upon milestones and a team misses it then it is clear that they went wrong. In agile, establishing how well is working is its own challenge.
In my experience, the disadvantages all have reasonable solutions in a true agile cultured company. Also in my experience, the non-agile solutions to the disadvantages don’t really solve the problems either, they just make the issues more visible to leadership.
If your company doesn’t have a true agile culture, then the disadvantages are probably overwhelming."
Amy,Former S.D.E III,2022,0,"Agile has several advantages and disadvantages. If you want to decide whether or not to buy this CRM, you must first determine what features you require. The advantages and disadvantages of Agile CRM are listed below.
Pros of Agile:
Reasonable pricing
One of the most excellent email marketing tools
Contact management made simple
Automated sales pipeline system makes it simpler to close business
Easy-to-use configuration and administration interface, even for beginners
Cons of Agile:
For the Starter package, just one integration option is provided
Buggy email capabilities
Third-party integration difficulties
Limited third-party integrations
Limited service automation functionalities
Lack of reporting"
Darren Thatcher,Agile Coach + Jira & Confluence expert (2010–present),2019,6,"Hi Jessica,
Thanks for your request for me to answer “What are the advantages and disadvantages of Agile as a project management tool?”
I’m an agile consultant, an agile coach and a scrum master so I should be able to answer this
“Agile” isn’t a project management tool: it’s a way of thinking and behaving, or - as we like to say - “mindset and behaviours”
It’s essentially:
an opening sentence about uncovering better ways of doing something but actually “doing” it as opposed to just talking about it, and in addition “helping others to do” it too
Four value statements
Twelve principles
The advantages are that if these values and principles were common across 17 successful people in the 1990s (the 17 signatories of the Agile Manifesto in 2001) and furthermore it’s stood the test of time since then, then they’re probably applicable today also, in the same way as the Lean principles have also stood the test of time.
I can’t think of any disadvantages. An analogy could be as follows: if a principle of a successful marriage was communication, then what would the disadvantage of communication be?
Agility teaches us certain mindsets and behaviours such as collaboration and valuing individuals and interactions more than valuing processes and tools; for example: before writing that email to your work colleague that sits just behind you, instead go and see if they want a coffee. This actually happened between two project managers that I was an agile coach for back in 2016: one had heard the other did reporting that the stakeholders really valued; when I suggested they talk the first project manager reached for his keyboard to write an email when the other sat just a few meters away. I paused him and said “Watch this…” and then went and invited the other if he fancied a coffee. I got them both talking over a coffee and the knowledge was shared. This was effective because “English language in written form is weak” (one of my many one-liners) and the sample I give in training to demonstrate this is: “I didn’t say I love you” and then I emphasise the various words: I didn’t say I love you; I didn’t say I love you; I didn’t say I love you; I didn’t say I love you; I didn’t say I love you (that last one kinda acts like the punchline to a joke - it always brings about a reaction in my class haha) but the point has been made. This is because communication between humans involves three components: words, voice intonation and body language. i go on to further demonstrate this by inviting my audience to reflect on how they found they’d proof read and correct emails they’d written to get that “perfect” communication, and then it still wasn’t received as the writer intended. Lesson learned: English language in written form is weak.
That last paragraph is just one small part of agility.
Such is the common sense of agility (and another one of my one-liners is “Agile is just a big slap of common sense”)
I still can’t think of any disadvantages :)"
Riley Claire,Software Test Engineer | Technophile | Blogger,2023,0,"While incremental delivery might assist get products to market faster, it is also a significant downside of Agile approach. Because when teams work on each component in separate cycles, the overall result typically becomes quite fragmented rather than a coherent entity.
5 Key Disadvantages of Agile Methodology are as follows:
Poor resource planning
Limited documentation
Fragmented output
No finite end
Difficult measurement"
Chuck Cobb,Agile Project Mgt Author and Instructor (Over 200K Students),2018,11,"The biggest weaknesses in Agile/Scrum are not in Agile itself but in how it is implemented:
Agile “Zealotry” - Some people see Agile/Scrum as a “panacea” for any problem you might have and attempt to force-fit all projects to an Agile/Scrum approach. Agile is not a solution for every possible problem you might have.
Agile versus Waterfall Misconceptions - Many people think that there is a binary and mutually-exclusive choice between “Agile” and “Waterfall”. It is sometimes necessary to blend Agile and traditional plan-driven project management principles and practices in the right proportions to fit the situation. That is frequently true when you try to scale Agile to large, complex enterprise-level projects.
Agile requires training and should be done intelligently - Agile is intended to be adaptive and you should fit the approach to the nature of the problem but many people do it rigidly and mechanically because they don’t understand the principles behind it at a deeper level.
Development and Business Perspective - Many people see Agile from a “development perspective” and assume that whatever is good for the development process must be good for the business as a whole. Creating an enterprise-level Agile strategy needs to fit the nature of the company’s business and should be done in that context. It is not simply a matter of just forcing a company to become more Agile in many cases."
Manish Makhija,Sr. PPC Executive at SRV Media Pvt. Ltd (2021–present),2019,0,"Agile is lightweight approach, it is flexible & adaptable. The disadvantages are it does not suit for any small term project."
Jessica Wright,Works at Maxburst,2020,31,"Techtic Solutions Inc Published full information Blog about ""What is agile methodology?""
A Comprehensive Guide On Agile Development Process
Imagine a day in the programmer’s life in the early days of software development. The coding itself used to consume a lot of time, as the computers in those days were slow and heavy.
You had to sit in one place and complete the task. Collaboration was a difficult affair, and debugging could drain the developer completely.
The Agile Manifesto: 12 Principles
The guiding principles
The main priority for any software development company using agile practices is to offer continuous delivery of the software solution to exceed customer expectations.
You should say yes to changing the requirements even if it is suggested at the last minute of the development cycle.
You should ideally keep sending the working software to update the client on the progress. The timelines for that should be as short as possible, ranging from weeks to months.
Collaboration of the developers with the business development team is a must for better development processes and high-quality solutions.
Empower individuals so that they are motivated to complete the jobs. Offer a supportive environment for better delivery.
A face-to-face conversation with your development team is a must if you want to convey changes or communicate some aspect of the development.
A working software that you send to the client will help measure the progress of the project, and give your client an insight into what you are developing.
The development pace should be constant, which is why you need agile processes, as they offer a sustainable development environment.
Your development accelerates when you promote good design and technical superiority
You should incorporate simplicity in your development methods.
If you have a self-organizing team, as in the case of agile development, you will be able to incorporate the best architecture and designs for your project.
It is important to reflect on your actions, and the project to make it better and more effective.
Now that you are aware of the 12 principles of agile manifesto that you need to remember, let’s take a look at the best practices you should incorporate while developing using agile methodology.
Agile Best Practices
#1 Practice a Test-Driven Environment
#2 Constant Communication Through Daily Meetings
#3 Incremental Changes Incorporated
Read Full information about How Automating Business Processes with Digital Solution Equates to Profits"
Aadarsh Patel,"Lives in Pune, Maharashtra, India (2008–present)",2023,13,"The benefits of Agile
The benefits of Agile project management will vary from case to case, as different teams implement best practices their own way. However, it is generally understood that Agile offers the following core benefits:
1. Satisfied customers
By involving customers in the development process, Agile teams keep them in the loop and show that they value their opinion. Stakeholders want to be engaged throughout the project life cycle so they can offer feedback and ensure that the final product will be suited to their needs. These tailor-made deliverables will likely improve the overall user experience and boost customer retention.
2. Improved quality
Agile methodologies use an iterative approach to project management, meaning processes are improved upon each time an interval is repeated. This consistent focus on improvement and quality control is one of the core principles of Agile, and it helps to create superior products.
3. Adaptability
The central theme of Agile is flexibility. Agile teams are responsive to change, even at the last minute, and can adapt to it without much disruption. Project deliverables are not set in stone, so teams can easily reassess their plans and adjust their priorities to align with updated goals. Being adaptable means teams can deliver consistently and manage clients’ changing requirements effectively.
4. Predictability
Agile teams work in short time periods, sometimes referred to as sprints. These fixed durations (e.g., two weeks) make it easier for project managers to measure team performance and assign resources accordingly. It is also easier to predict costs for shorter time periods than for a long-term project, simplifying the estimation process.
5. Reduced risk
Developers regularly assess progress during sprints, meaning they have better visibility into the project and can spot potential obstacles quickly. These minor issues can be tackled before they escalate, creating an effective risk mitigation process and giving the project a greater chance of success.
6. Better communication
Agile teams prioritize face-to-face communication and continuous interaction. They will usually conduct daily meetings to ensure everyone is on the same page and working towards the same objectives. By regularly communicating with each other, they eliminate potential confusion to successfully achieve their objectives."
Chandan Prakash Sharma,Scrum Master,2018,10,"A2A
Look this image:
Here if you observe, in both cases we were building same product but difference is in approach.
Case-1:
You need to wait till end to get delivered the product. Till that you just have to wait… And even after that it’s not sure that you will get the product as you expected.
There might be gap in expectation and actual. And it’s obvious… The development team might have understood different as compare to your visualization. Or there might be reason that after so long duration, your requirement itself got changed (earlier you were expecting something but now it’s something else. As during this tenure you might have observed some newly came product in the market or evolved with new ideas in between).
Whatever be the reason but you are not happy with deliverable. Because of that we need to change it again. Which requires cost and time.
So as a whole if we summarize: then we can say till the date product deliver you kept in a blind fold. You are only investing money but not getting any output to use.
Case-2:
In case-2 , you are not required to wait till very end to get deliver the product. As here product development is divided in no. of iteration. So after each iteration you will get something to use. Which makes you start getting benefited from very beginning.
In addition to this, it will provide more advantages, like:
As you are getting deliverable after few days only, so you can re-view and give your feedback if any changes required. Because of that development team can make those changes easily as changing is easier at begging as compare to changing very end when every thing is buildUp. It will cost and time saving.
Margin of difference b/w actual and expectation will be thin.
Implementation cost is less
As you yourself involve from beginning itself so development will go on track
With small team size and resources we can build the product
Proper utilization of resources
Conclusion
As you can see, case-2 having lots of benefits as compare to case-1…
Right ?
This case-2 is nothing but Agile approach of building the product. Whose base line is MVP (Minimum Viable Product).
Agile methodology is iteration based model, dividing big requirements to small-small sub-requirements, prioritizing them (as per MVP) and developing them in phases (nothing but Sprints).
An iteration is the routine of developing small sections of a project at a time.
Each iteration is reviewed and assessed by the development team and client.
Key Features
Lower Cost
Encourages open communication among team members, and clients.
Thanks…
Sources: Google"
Kousalya Mariappan,Feel to ask about testing!,2016,15,"Agile:
It is an incremental and iterative approach, where the requirements keeps on changing and as a Company we will be flexible enough to meet the changes and deliver Quality software to the customer.
The main goal of Agile is Customer Satisfaction by delivering Quality software in short period of time.
Thank you! :)"
Nivedita,MBA from Indian Institute of Management Calcutta (Graduated 2020),2020,3,"I have been practicing agile for 7.5 years now and I can agree without a doubt that Agile so far has not disappointed me.
In my experience an Agile team works in 2-week sprints and delivers an MVP in monthly release cycles. Therefore there is early and continuous delivery of incremental versions of the software to the customer. Consequently, on this version of the software, the customer gives his feedback . This feedback is put into the MVP of the next month’s release cycle and delivered to the customer and the feedback cycle continues. Therefore, through monthly release cycles and delivering incremental versions of the software, agile takes both the development team and the customer to the version of the software that gives the most business value.
So yes, the most important benefit that Agile gives to the customer is maximum possible business value.
Other benefits of agile include
allowing the customer to change requirements
customer is involved throughout the development of the project through monthly demos
incorporating customer feedback enhances the quality of the product
Hope this helps.
Thanks.
Nivedita | IIM Calcutta"
Jaishree Goutam,"Student at IIT Delhi at Indian Institute of Technology, Delhi (2021–present)",2024-06,4,"Agile project methodology is an adaptive and collaborative approach to managing projects, especially in software development. It focuses on iterative progress through small, manageable increments called sprints. Agile promotes continuous improvement, flexibility, and responsiveness to change. Teams work closely with stakeholders, ensuring frequent feedback and adjustments. This methodology encourages cross-functional teamwork, regular communication, and a strong emphasis on delivering functional components quickly. Agile helps projects stay aligned with customer needs and adapt swiftly to evolving requirements, making it ideal for dynamic and complex environments. Its iterative nature allows for ongoing refinements and improved project outcomes.
Popular Agile methodologies include:
Scrum: Focuses on iterative development through sprints, with defined roles (Scrum Master, Product Owner, and Development Team) and regular meetings (Daily Stand-ups, Sprint Planning, and Retrospectives).
Kanban: Uses visual boards to manage workflow, emphasizing continuous delivery and improving efficiency by limiting work in progress.
Lean: Aims to maximize value by eliminating waste and optimizing processes. It focuses on delivering high-quality products with minimal resources.
Extreme Programming (XP): Enhances software quality and responsiveness with practices like pair programming, test-driven development, and frequent releases.
Feature-Driven Development (FDD): Involves developing software by building and designing individual features.
These methodologies help teams be flexible, responsive, and collaborative.
thanks for reading it"
Leon Tranter,11 years working on enterprise IT systems,2023,0,"There are a bunch of pros:
Shorter lead time - people start getting stuff sooner. Instead of spending a long time writing up all the requirements and figuring out all the designs, you work in small batches, so something gets released much earlier.
More and faster feedback - since you are releasing in many smaller chunks rather than one big one, you can get more feedback and get it sooner, which helps you refine the products
Less handoffs - agile favours empowered cross-functional teams who own their technology stack - this means less handoffs, blockers, dependencies, etc.
Cons:
Harder to get stakeholder buy-in… stakeholders want up-front certainty and will struggle with the inherent uncertainty of this system
Architecture is a problem area - since we’re moving fast in small pieces, you figure out the architecture as you go, via “emergent design” - this can sometimes end up with messy architectures and spaghetti systems
Quality needs to be taken very seriously or the wheels will fall off - since you’re moving fast, it’s easy to fall into bad patterns and take shortcuts, leading to quality problems and technical debt."
Sundar Raghavan,"Lives in Bengaluru, Karnataka, India",2019,0,"The flavors of agile methodologies are
Deliver working software and demonstrate to customers at regular intervals
Promote frequent communication
Build trust and collaborate with customers
Embrace changes and accepts feedback
Maintain simplicity by focusing on highest value first and what is essential
Agile is timeboxed
Business and development teams work together.
Eliminating waste and keep things simple to deliver more with less
Deliver in small incremental or iterations
Team is cross functional
Values are delivered
There are various agile methodologies are available
Scrum
SAFe
Kanban
Lean Development
Extreme Programming
Disciplined Agile"
Thom Snyder,"30 years project management, Writer, Quora contributor",2017,7,"This question seems to be the most perplexing question in the world of developers and one can go crazy reading the myriad of descriptions from several websites that promote themselves as experts on the subject.
Before launching into AGILE, let’s look at SCRUM and see if we can glean any information from that.
Let’s take for instance, information I gathered from ScrumAlliance.org:
What is Scrum? An Agile Framework for Completing Complex Projects - Scrum Alliance
The description of SCRUM was not what I expected, since according to the founders of Scrum, Ken Schwaber and Jeff Sutherland, SCRUM is a methodology. One would assume that ScumAlliance.org didn’t get it right but should know what they are talking about. Then suddenly without warning, everything became a bit cloudier with their closing statement.
Now I was left guessing! Is SCRUM a process, a methodology (as I originally thought it was) or was it a framework?
Without going through the entire list, I’ll plug some additional info from The Definitive List of Software Development Methodologies - NOOP.NL website.
Scrum
Scrum is an agile project management methodology, created by Ken Schwaber and Jeff Sutherland. It all started in 2001 with The Manifesto for Agile Software Development, that defined the skeleton of four core values and twelve distinct agile principles. Throughout the years, Scrum has became the de facto standard for managing agile software development projects. One reason for Scrum’s popularity is that it consists of only a few common sense practices that can be applied in many situations. This also means that Scrum by itself is never enough, and that development teams have to incorporate other methods (usually XP) for additional practices.
Well, seems these people got it right. SCRUM is a methodology. Still, we should point back to the Manifesto for Agile Software Development itself to acquire the recommended enlightenment. Is there an answer in the 12 principles? I used this site as the reference, since it referenced the actual link to the Manifesto.
What's the Difference? Agile vs Scrum vs Waterfall vs Kanban
12 Principles of Agile Methodology
The Agile Manifesto lists 12 principles to guide teams on how to execute with agility. These are the principles:
Our highest priority is to satisfy the customer through early and continuous delivery of valuable software.
Welcome changing requirements, even late in development. Agile processes harness change for the customer’s competitive advantage.
Deliver working software frequently, from a couple of weeks to a couple of months, with preference to the shorter timescale.
Business people and developers must work together daily throughout the project.
Build projects around motivated individuals. Give them the environment and support they need, and trust them to get the job done.
The most efficient and effective method of conveying information to and within a development team is face-to-face conversation.
Working software is the primary measure of progress.
Agile processes promote sustainable development. The sponsors, developers, and users should be able to maintain a constant pace indefinitely.
Continuous attention to technical excellence and good design enhances agility.
Simplicity -- the art of maximizing the amount of work not done -- is essential.
The best architectures, requirements, and designs emerge from self-organizing teams.
At regular intervals, the team reflects on how to become more effective, then tunes and adjusts its behavior accordingly.
Ok. There is nothing in the principles that distinguishes whether SCRUM or Agile is a methodology or a framework. The principles are nothing more than what they say they are - a manifesto. Google tells us that a manifesto is nothing more than a “… published verbal declaration of intentions, motives, platform or views of the issuer, be it an individual, group, political party or government.”
There is some information neatly tucked into 2 paragraphs on the History: The Agile Manifesto page of the Agile Manifesto which actually mentions SCRUM as a methodology.
“The Agile movement is not anti-methodology, in fact, many of us want to restore credibility to the word methodology. [snipped for brevity] … Those who would brand proponents of XP or SCRUM or any of the other Agile Methodologies as ""hackers"" are ignorant of both the methodologies and the original definition of the term hacker.
[snipped for brevity] … A number (of) these articles referred to ""Light methodologies, such as Extreme Programming, Adaptive Software Development, Crystal, and SCRUM"". In conversations, no one really liked the moniker ""Light"", but it seemed to stick for the time being.”
So I am convinced SCRUM is a methodology but what about AGILE? When we say Agile, are we mentioning a specific method called Agile or are we defining a methodology that is agile ?
The simple answer is: Agile is an umbrella term that includes other processes, like Extreme Programming, Kanban, Crystal, and Scrum. Scrum is Agile, but Agile isn’t Scrum.
Wow - that was a lot of writing. I need coffee."
Yuvaraj Mohite,Agile and Devops Coach,2021,0,The disadvantages are mostly people make it very prescriptive rather than understanding the guiding principles. Also it is a most common excuse to work ad-hoc under the guise of Agility.
Mike Graupner,"Progressive Christian, Conservative, Husband and Grandpa",2019,4,"What are the advantages and disadvantages of Agile as a project management tool?
Jesica,
Forgive me but I think the question has some bad assumptions. Project management is the process of management pr Schedule Scope and Cost.
Agile management is the process of managing a iterative development process Agile software development - Wikipedia
So, singe agile and Project management are different beast, the short ans is there are no advantage or disavantages, to the tools since they don’t cover any of the same areas
For example, in agile, schedule (iterations) is fixed which leads cost to be fixed as well. Scope is floating with the “you get what you get” type of approach.
So let's look at the dreaded PMBOK KA and how agile deals with them:
These are the 10 Project Management knowledge areas:
Project Integration Management.
Not sure if this can be mapped
Project Scope Management.
Not needed in agile as the product backlog management is scope management
Project Schedule Management.
- Schedule is fixed by the number of iterations being funded based on a fixed team size
Project Cost Management.
- Since the schedule does not “float” the costs are generally predictable
Project Quality Management.
- Since testing should be built into the iteration by the team quality is not “managed” by a PM
Project Resource Management.
- Fixed resources, no problems
Project Communications Management.
- Ideally the agile team is colocated, communication is face to face.
Project Risk Management.
- Hard to answer, I suggesting reading Who is responsible for risk management in Agile-style deliveries?
For me, I don’t look at the agile/waterfall debate as either one or another. My most successful projects have been blended projects. Agile has a lot of tools as work arounds.
A recent project was time critical and we could not get requirements. But using a agile/rapid prototype process in the front end, were were able to recover the schedule and deliver in on time (requirement were 3 weeks overdue in a 8 week schedule)
This being said, I would suggest you use an Agile tool for agile development and a project management tool for the project management
Hope this helps"
Aadarsh Patel,"Lives in Pune, Maharashtra, India (2008–present)",2023,1,"Cons of agile methodology
1. Transfer difficulties
When switching from one management style to another for an entire department, it may take time to fully acclimate to the new responsibilities and style of how projects progress within the system. Leaders may have some initial difficulties adjusting to the management style, although consistent practice and training can help all employees adjust to new tactics.
2. Variable goals
Because the agile methodology focuses on multiple goals at a time, certain goals may not receive as much focus throughout the entire project. Variable goals within a department can lead to a lack of specific goals for a team, which may lead to unknown deadlines and less accurate costs. One way to prevent variable goals from allowing unwarranted costs or missed deadlines can be to schedule regular meetings to discuss goals.
3. Lack of documentation
In the agile methodology system, documentation is less important than reactionary planning and progress. This can make documentation responsibilities such as record keeping, billing statements and plan-keeping complete more slowly in comparison to other duties. To help improve documentation while using this methodology, consider taking record of documented statements at least once a month.
4. Less documented improvement
Because agile methodology strategies focus on reactionary improvement rather than documented improvement phases, documented success and calculated methodology strategies may be ineffective throughout the project.
5. Goal focus shifting
Since agile methodology involves focus shifting based on which part of a project requires the most attention, it may be difficult to lead all team members toward a singular goal. In later stages of the project, it may become preferable to have the majority of department members focusing on a singular goal.
6. Less predictability
Because agile production relies on continuous improvement and customer feedback, the department may not be able to predict profits before production begins. Agile production focuses on sending acceptable products to customers as soon as possible, which can make potential issues harder to predict over time.
Pros of agile methodology
1. Timely delivery
Because it focuses on product placement, the agile strategy allows a department to deliver products to clients as quickly as possible. While products and development processes may not be as optimal as possible due to lessened planning stages, the agile method allows improvement to progress through reactionary feedback.
2. Adaptability
Since the improvement increments between product delivery dates are small, projects can easily change and adapt when underneath an agile strategy system. This allows production to continue at an acceptable rate while improving the process continuously.
3. Ease of collaboration
Because agile working requires much feedback between the client and employees, agile methodology introduces a great system for collaborating between both customers and other departments. In an agile system, management encourages employees to think creatively to solve problems and create solutions for project challenges as they arise.
4. Increased performance improvement
Because agile department test product increments as they produce them, department members can quickly react to problems as they may arise. The fragmented nature of production and correction allows agile departments to better understand and correct problems quickly.
5. Transparency
With the agile approach to departmental work, both potential issues and process improvements become evident with each production cycle. This type of management allows employees to both correct mistakes and improve production details quickly.
6. Continuous improvement
Because the agile department strategy relies on improving a process as it produces products, improvement can directly effect the next product. Additionally, because agile strategies don't stop production to implement fixes, management encourages employees to act on feedback as soon as possible.
7. Higher profits
The agile department focuses on producing a continuously improving product rather than a perfect one. This enables agile departments to gain profits as quickly as possible, since each product profit brings feedback back to the team.
8. Less preparatory work
Because agile development focuses on the product more than process improvement, an agile department can produce a product more quickly than other management methods. By accepting feedback and making changes over time rather than stopping production to make larger changes, products can improve while not fully compromising improvement efforts."
Roshan Bari,Information Technology Enthusiast,2023,53,"Agile is an approach to delivering an Information Technology or IT Solutions. The main focus is on changing Business needs and Technologies. Projects which are following Agile methodology having high rate of success.
There are many Software Development Methodologies available but Agile is one of most popular in industry. It is because nothing is permanent in Agile until the project has delivered a solution that is good and sufficient to the needs of its users.
Some of the major principles which are followed -
1. Early, continuous delivery of valuable software
2. Welcome the changing requirements
3. Working together daily throughout the project
4. Face to face conversation with team members
5. Encouraging the simplicity
There are various agile methodologies available, out of which Scrum is one of most followed methodology. Others are Lean, Kanban, XP, FDD, etc.
Peace :)"
Sundar Raghavan,"Lives in Bengaluru, Karnataka, India",2019,1,"Adapting agile requires mindset and cultural change. We can follow agile, not just in projects even in our life aiding us to embrace changes, adapt to environment, and focus excellence. Agile helps our communication to be transparent and we tend to collaborate better. The outcome are value driven than process driven.
Below stated are major benefits from using agile:
The highest values are delivered first
Working product is a key focus than documentation
Advocates servant leadership and Scrum Master facilitate to remove impediments
Teams are self evolving and improvise themselves
Team trust each other and builds relationship to deliver stronger together
Deliver at regular intervals demonstrate to customer on what is being done from earlier stages onward
Accepts feedback and embraces changes
Reduces silos and breaks hierarchy encourages cross-functional team culture
Promotes continuous integration and delivery as outputs are seen earlier and feedback can be implemented at a later stages
Communication is frequent and regular to support the outcome"
Bob Dobbs,"Motorcyclist, photographer, and software developer",2019,1,"What is Agile? What are the benefits of learning it?
Agile: adj. able to move quickly and easily. Nimble.
If you have no uncertainty about outcomes or how to achieve them, you should not use agile development practices.
Examples: tying shoes. Boiling water.
If you never change priorities, you should not use agile development practices.
Agile development is the process of observing current state, identifying where you think you want to go, making a small change towards that direction, measuring how it affects your goal and if your goal is still valuable, and adjusting.
If you’re using agile as a noun, you’re selling something. It’s an adjective."
